,Source,Sink,Time,Value
826,NH,WCMA,11,0.0
827,NH,WCMA,12,0.0
828,NH,WCMA,13,0.0
829,NH,WCMA,14,0.0
830,NH,WCMA,15,972.9964974822091
831,NH,WCMA,16,0.0
832,NH,WCMA,17,0.0
833,NH,WCMA,18,0.0
834,NH,WCMA,19,0.0
835,NH,WCMA,20,0.0
836,NH,WCMA,21,0.0
837,NH,WCMA,22,0.0
838,NH,WCMA,23,0.0
839,NH,WCMA,24,0.0
840,NH,RI,1,0.0
841,NH,RI,2,0.0
842,NH,RI,3,0.0
843,NH,RI,4,0.0
844,NH,RI,5,0.0
845,NH,RI,6,0.0
846,NH,RI,7,0.0
847,NH,RI,8,0.0
848,NH,RI,9,0.0
849,NH,RI,10,0.0
850,NH,RI,11,0.0
851,NH,RI,12,0.0
852,NH,RI,13,0.0
853,NH,RI,14,0.0
854,NH,RI,15,0.0
855,NH,RI,16,0.0
856,NH,RI,17,0.0
857,NH,RI,18,0.0
858,NH,RI,19,0.0
859,NH,RI,20,0.0
